,antecedents,consequents,support,confidence,lift,Category
0,1706,3035,0.023611718,0.477876106,15.61289507,Portable Audio & Video
1,3035,1706,0.023611718,0.771428571,15.61289507,Portable Audio & Video
2,7780,8711,0.030170529,0.123655914,3.008522077,Portable Audio & Video
3,8711,7780,0.030170529,0.734042553,3.008522077,Portable Audio & Video
1,2523,2486,0.007542579,0.611842105,16.87698693,Computers & Accessories
0,2486,2523,0.007542579,0.208053691,16.87698693,Computers & Accessories
2,4718,274,0.006731549,0.188208617,3.6835115,Computers & Accessories
3,274,4718,0.006731549,0.131746032,3.6835115,Computers & Accessories
4,7256,9315,0.003425615,0.163879599,21.11832234,Headphones
5,9315,7256,0.003425615,0.441441441,21.11832234,Headphones
2,111,6210,0.003215884,0.116751269,3.976214648,Headphones
3,6210,111,0.003215884,0.10952381,3.976214648,Headphones
0,1575,111,0.003984899,0.095798319,3.477916649,Headphones
1,111,1575,0.003984899,0.144670051,3.477916649,Headphones
0,6726,2586,0.037314209,0.836829837,16.00624227,Camera & Photo
1,2586,6726,0.037314209,0.713717694,16.00624227,Camera & Photo
4,4806,3995,0.090031315,0.490056818,3.043594372,Accessories & Supplies
5,3995,4806,0.090031315,0.559157212,3.043594372,Accessories & Supplies
2,4806,2483,0.110647182,0.602272727,2.989519548,Accessories & Supplies
3,2483,4806,0.110647182,0.549222798,2.989519548,Accessories & Supplies
0,2483,3995,0.072286013,0.35880829,2.228449543,Accessories & Supplies
1,3995,2483,0.072286013,0.448946515,2.228449543,Accessories & Supplies
2,9144,6078,0.021551724,1,38.66666667,Television & Video
3,6078,9144,0.021551724,0.833333333,38.66666667,Television & Video
0,3617,2129,0.030172414,0.368421053,2.947368421,Television & Video
1,2129,3617,0.030172414,0.24137931,2.947368421,Television & Video
3,745,1115,0.048780488,0.769230769,15.76923077,Car Electronics & GPS
2,1115,745,0.048780488,1,15.76923077,Car Electronics & GPS
0,1105,4152,0.034146341,0.388888889,5.314814815,Car Electronics & GPS
1,4152,1105,0.034146341,0.466666667,5.314814815,Car Electronics & GPS
4,6005,3728,0.024390244,0.2,1.64,Car Electronics & GPS
5,3728,6005,0.024390244,0.2,1.64,Car Electronics & GPS
0,6328,5054,0.062015504,0.666666667,1.829787234,Home Audio
1,5054,6328,0.062015504,0.170212766,1.829787234,Home Audio
2,8802,5054,0.054263566,0.4375,1.200797872,Home Audio
3,5054,8802,0.054263566,0.14893617,1.200797872,Home Audio
2,5283,6156,0.083333333,0.5,3.818181818,Security & Surveillance
3,6156,5283,0.083333333,0.636363636,3.818181818,Security & Surveillance
0,5283,5456,0.095238095,0.571428571,3,Security & Surveillance
1,5456,5283,0.095238095,0.5,3,Security & Surveillance
0,4278,6003,0.08045977,0.538461538,3.346153846,Wearable Technology
1,6003,4278,0.08045977,0.5,3.346153846,Wearable Technology
0,16411,32406,0.046747967,0.330341113,2.226408598,Dresses
1,32406,16411,0.046747967,0.315068493,2.226408598,Dresses
2,32405,32406,0.047764228,0.306688418,2.066995911,Dresses
3,32406,32405,0.047764228,0.321917808,2.066995911,Dresses
4,27439,32236,0.112582781,0.431472081,1.428778164,Outerwear
5,32236,27439,0.112582781,0.372807018,1.428778164,Outerwear
2,32236,11960,0.156291391,0.51754386,1.400521914,Outerwear
3,11960,32236,0.156291391,0.422939068,1.400521914,Outerwear
0,27439,11960,0.119205298,0.456852792,1.236286229,Outerwear
1,11960,27439,0.119205298,0.322580645,1.236286229,Outerwear
6,80238,62447,0.055031447,0.36687631,2.466525722,Bottoms
7,62447,80238,0.055031447,0.369978858,2.466525722,Bottoms
2,54222,21296,0.055345912,0.468085106,2.058797563,Bottoms
3,21296,54222,0.055345912,0.243430152,2.058797563,Bottoms
0,21296,50818,0.057861635,0.254495159,1.67555819,Bottoms
1,50818,21296,0.057861635,0.380952381,1.67555819,Bottoms
4,21296,62447,0.052515723,0.230982019,1.552902371,Bottoms
5,62447,21296,0.052515723,0.353065539,1.552902371,Bottoms
0,34935,40899,0.041046996,0.22923588,2.185324281,Tops
1,40899,34935,0.041046996,0.391304348,2.185324281,Tops
2,57369,34935,0.040253817,0.351819757,1.964813994,Tops
3,34935,57369,0.040253817,0.224806202,1.964813994,Tops
