item_id,category
0,Portable Audio & Video
1,Computers & Accessories
2,Headphones
3,Camera & Photo
4,Television & Video
5,Camera & Photo
6,Camera & Photo
7,Home Audio
8,Accessories & Supplies
9,Camera & Photo
10,Portable Audio & Video
11,Camera & Photo
12,Camera & Photo
13,Camera & Photo
14,Camera & Photo
15,Camera & Photo
16,Camera & Photo
17,Camera & Photo
18,Camera & Photo
19,Camera & Photo
20,Camera & Photo
21,Computers & Accessories
22,Accessories & Supplies
23,Camera & Photo
24,Camera & Photo
25,Camera & Photo
26,Camera & Photo
27,Camera & Photo
28,Camera & Photo
29,Camera & Photo
30,Camera & Photo
31,Camera & Photo
32,Camera & Photo
33,Portable Audio & Video
34,Camera & Photo
35,Camera & Photo
36,Camera & Photo
37,Camera & Photo
38,Computers & Accessories
39,Camera & Photo
40,Camera & Photo
41,Camera & Photo
42,Computers & Accessories
43,Camera & Photo
44,Computers & Accessories
45,Computers & Accessories
46,Camera & Photo
47,Television & Video
48,Camera & Photo
49,Camera & Photo
50,Computers & Accessories
51,Camera & Photo
52,Camera & Photo
53,Television & Video
54,Camera & Photo
55,Computers & Accessories
56,Camera & Photo
57,Camera & Photo
58,Camera & Photo
59,Camera & Photo
60,Camera & Photo
61,Camera & Photo
62,Camera & Photo
63,Camera & Photo
64,Camera & Photo
65,Camera & Photo
66,Camera & Photo
67,Headphones
68,Camera & Photo
69,Camera & Photo
70,Camera & Photo
71,Computers & Accessories
72,Computers & Accessories
73,Camera & Photo
74,Camera & Photo
75,Computers & Accessories
76,Camera & Photo
77,Headphones
78,Camera & Photo
79,Accessories & Supplies
80,Computers & Accessories
81,Computers & Accessories
82,Television & Video
83,Computers & Accessories
84,Computers & Accessories
85,Television & Video
86,Camera & Photo
87,Computers & Accessories
88,Computers & Accessories
89,Camera & Photo
90,Camera & Photo
91,Camera & Photo
92,Camera & Photo
93,Camera & Photo
94,Camera & Photo
95,Camera & Photo
96,Computers & Accessories
97,Camera & Photo
98,Camera & Photo
99,Camera & Photo
100,Television & Video
101,Camera & Photo
102,Camera & Photo
103,Camera & Photo
104,Computers & Accessories
105,Camera & Photo
106,Computers & Accessories
107,Computers & Accessories
108,Computers & Accessories
109,Computers & Accessories
110,Camera & Photo
111,Headphones
112,Camera & Photo
113,Camera & Photo
114,Camera & Photo
115,Camera & Photo
116,Accessories & Supplies
117,Camera & Photo
118,Camera & Photo
119,Computers & Accessories
120,Camera & Photo
121,Computers & Accessories
122,Camera & Photo
123,Camera & Photo
124,Camera & Photo
125,Computers & Accessories
126,Computers & Accessories
127,Camera & Photo
128,Accessories & Supplies
129,Television & Video
130,Camera & Photo
131,Camera & Photo
132,Camera & Photo
133,Computers & Accessories
134,Accessories & Supplies
135,Camera & Photo
136,Computers & Accessories
137,Camera & Photo
138,Camera & Photo
139,Camera & Photo
140,Camera & Photo
141,Camera & Photo
142,Computers & Accessories
143,Camera & Photo
144,Computers & Accessories
145,Camera & Photo
146,Camera & Photo
147,Camera & Photo
148,Camera & Photo
149,Computers & Accessories
150,Television & Video
151,Computers & Accessories
152,Camera & Photo
153,Camera & Photo
154,Headphones
155,Camera & Photo
156,Camera & Photo
157,Camera & Photo
158,Computers & Accessories
159,Car Electronics & GPS
160,Camera & Photo
161,Television & Video
162,Headphones
163,Camera & Photo
164,Computers & Accessories
165,Camera & Photo
166,Camera & Photo
167,Camera & Photo
168,Camera & Photo
169,Camera & Photo
170,Headphones
171,Camera & Photo
172,Camera & Photo
173,Camera & Photo
174,Camera & Photo
175,Camera & Photo
176,Camera & Photo
177,Camera & Photo
178,Home Audio
179,Camera & Photo
180,Television & Video
181,Camera & Photo
182,Computers & Accessories
183,Camera & Photo
184,Camera & Photo
185,Computers & Accessories
186,Camera & Photo
187,Camera & Photo
188,Computers & Accessories
189,Camera & Photo
190,Camera & Photo
191,Camera & Photo
192,Camera & Photo
193,Computers & Accessories
194,Home Audio
195,Camera & Photo
196,Camera & Photo
197,Camera & Photo
198,Computers & Accessories
199,Portable Audio & Video
200,Camera & Photo
201,Camera & Photo
202,Camera & Photo
203,Portable Audio & Video
204,Camera & Photo
205,Camera & Photo
206,Camera & Photo
207,Headphones
208,Camera & Photo
209,Camera & Photo
210,Computers & Accessories
211,Home Audio
212,Portable Audio & Video
213,Camera & Photo
214,Camera & Photo
215,Computers & Accessories
216,Portable Audio & Video
217,Camera & Photo
218,Camera & Photo
219,Camera & Photo
220,Camera & Photo
221,Accessories & Supplies
222,Accessories & Supplies
223,Camera & Photo
224,Camera & Photo
225,Computers & Accessories
226,Computers & Accessories
227,Accessories & Supplies
228,Camera & Photo
229,Camera & Photo
230,Camera & Photo
231,Camera & Photo
232,Camera & Photo
233,Camera & Photo
234,Camera & Photo
235,Camera & Photo
236,Headphones
237,Camera & Photo
238,Television & Video
239,Portable Audio & Video
240,Portable Audio & Video
241,Television & Video
242,Camera & Photo
243,Camera & Photo
244,Television & Video
245,Portable Audio & Video
246,Camera & Photo
247,Camera & Photo
248,Computers & Accessories
249,Camera & Photo
250,Camera & Photo
251,Camera & Photo
252,Camera & Photo
253,Computers & Accessories
254,Camera & Photo
255,Camera & Photo
256,Camera & Photo
257,Camera & Photo
258,Headphones
259,Headphones
260,Camera & Photo
261,Camera & Photo
262,Camera & Photo
263,Camera & Photo
264,Camera & Photo
265,Camera & Photo
266,Camera & Photo
267,Accessories & Supplies
268,Camera & Photo
269,Camera & Photo
270,Television & Video
271,Headphones
272,Headphones
273,Camera & Photo
274,Computers & Accessories
275,Camera & Photo
276,Television & Video
277,Computers & Accessories
278,Camera & Photo
279,Computers & Accessories
280,Camera & Photo
281,Camera & Photo
282,Television & Video
283,Car Electronics & GPS
284,Camera & Photo
285,Camera & Photo
286,Camera & Photo
287,Camera & Photo
288,Camera & Photo
289,Headphones
290,Portable Audio & Video
291,Camera & Photo
292,Camera & Photo
293,Camera & Photo
294,Computers & Accessories
295,Camera & Photo
296,Camera & Photo
297,Computers & Accessories
298,Computers & Accessories
299,Accessories & Supplies
300,Computers & Accessories
301,Car Electronics & GPS
302,Car Electronics & GPS
303,Accessories & Supplies
304,Camera & Photo
305,Security & Surveillance
306,Portable Audio & Video
307,Camera & Photo
308,Camera & Photo
309,Headphones
310,Computers & Accessories
311,Accessories & Supplies
312,Car Electronics & GPS
313,Camera & Photo
314,Camera & Photo
315,Computers & Accessories
316,Camera & Photo
317,Camera & Photo
318,Car Electronics & GPS
319,Computers & Accessories
320,Television & Video
321,Camera & Photo
322,Computers & Accessories
323,Camera & Photo
324,Camera & Photo
325,Camera & Photo
326,Computers & Accessories
327,Camera & Photo
328,Computers & Accessories
329,Camera & Photo
330,Camera & Photo
331,Television & Video
332,Portable Audio & Video
333,Camera & Photo
334,Camera & Photo
335,Camera & Photo
336,Camera & Photo
337,Accessories & Supplies
338,Headphones
339,Camera & Photo
340,Camera & Photo
341,Computers & Accessories
342,Computers & Accessories
343,Computers & Accessories
344,Car Electronics & GPS
345,Camera & Photo
346,Camera & Photo
347,Camera & Photo
348,Portable Audio & Video
349,Car Electronics & GPS
350,Camera & Photo
351,Camera & Photo
352,Portable Audio & Video
353,Car Electronics & GPS
354,Accessories & Supplies
355,Computers & Accessories
356,Accessories & Supplies
357,Camera & Photo
358,Camera & Photo
359,Television & Video
360,Camera & Photo
361,Camera & Photo
362,Headphones
363,Computers & Accessories
364,Camera & Photo
365,Computers & Accessories
366,Computers & Accessories
367,Camera & Photo
368,Camera & Photo
369,Camera & Photo
370,Portable Audio & Video
371,Television & Video
372,Camera & Photo
373,Home Audio
374,Camera & Photo
375,Camera & Photo
376,Portable Audio & Video
377,Computers & Accessories
378,Computers & Accessories
379,Car Electronics & GPS
380,Camera & Photo
381,Camera & Photo
382,Portable Audio & Video
383,Camera & Photo
384,Camera & Photo
385,Computers & Accessories
386,Camera & Photo
387,Accessories & Supplies
388,Accessories & Supplies
389,Portable Audio & Video
390,Camera & Photo
391,Computers & Accessories
392,Computers & Accessories
393,Computers & Accessories
394,Computers & Accessories
395,Camera & Photo
396,Camera & Photo
397,Television & Video
398,Camera & Photo
399,Camera & Photo
400,Camera & Photo
401,Camera & Photo
402,Camera & Photo
403,Camera & Photo
404,Camera & Photo
405,Computers & Accessories
406,Camera & Photo
407,Headphones
408,Camera & Photo
409,Camera & Photo
410,Camera & Photo
411,Headphones
412,Accessories & Supplies
413,Camera & Photo
414,Portable Audio & Video
415,Accessories & Supplies
416,Camera & Photo
417,Portable Audio & Video
418,Portable Audio & Video
419,Computers & Accessories
420,Camera & Photo
421,Computers & Accessories
422,Television & Video
423,Portable Audio & Video
424,Camera & Photo
425,Television & Video
426,Accessories & Supplies
427,Computers & Accessories
428,Computers & Accessories
429,Computers & Accessories
430,Computers & Accessories
431,Computers & Accessories
432,Car Electronics & GPS
433,Portable Audio & Video
434,Accessories & Supplies
435,Computers & Accessories
436,Computers & Accessories
437,Accessories & Supplies
438,Accessories & Supplies
439,Home Audio
440,Camera & Photo
441,Car Electronics & GPS
442,Security & Surveillance
443,Camera & Photo
444,Computers & Accessories
445,Camera & Photo
446,Accessories & Supplies
447,Camera & Photo
448,Accessories & Supplies
449,Computers & Accessories
450,Computers & Accessories
451,Camera & Photo
452,Camera & Photo
453,Camera & Photo
454,Portable Audio & Video
455,Camera & Photo
456,Computers & Accessories
457,Computers & Accessories
458,Portable Audio & Video
459,Portable Audio & Video
460,Camera & Photo
461,Car Electronics & GPS
462,Portable Audio & Video
463,Camera & Photo
464,Portable Audio & Video
465,Camera & Photo
466,Camera & Photo
467,Camera & Photo
468,Computers & Accessories
469,Computers & Accessories
470,Computers & Accessories
471,Camera & Photo
472,Camera & Photo
473,Portable Audio & Video
474,Camera & Photo
475,Camera & Photo
476,Television & Video
477,Camera & Photo
478,Portable Audio & Video
479,Camera & Photo
480,Portable Audio & Video
481,Camera & Photo
482,Portable Audio & Video
483,Car Electronics & GPS
484,Camera & Photo
485,Headphones
486,Camera & Photo
487,Portable Audio & Video
488,Camera & Photo
489,Camera & Photo
490,Camera & Photo
491,Camera & Photo
492,Camera & Photo
493,Computers & Accessories
494,Camera & Photo
495,Camera & Photo
496,Camera & Photo
497,Camera & Photo
498,Camera & Photo
499,Car Electronics & GPS
500,Computers & Accessories
501,Camera & Photo
502,Computers & Accessories
503,Camera & Photo
504,Camera & Photo
505,Camera & Photo
506,Camera & Photo
507,Camera & Photo
508,Camera & Photo
509,Camera & Photo
510,Computers & Accessories
511,Home Audio
512,Computers & Accessories
513,Camera & Photo
514,Camera & Photo
515,Accessories & Supplies
516,Camera & Photo
517,Computers & Accessories
518,Television & Video
519,Camera & Photo
520,Camera & Photo
521,Camera & Photo
522,Camera & Photo
523,Computers & Accessories
524,Accessories & Supplies
525,Computers & Accessories
526,Computers & Accessories
527,Camera & Photo
528,Computers & Accessories
529,Television & Video
