,Recommendation_System_Type,Category,Product,Brand,Rating,Sales
0,Overall Rating,Portable Audio & Video,1647,Other,4.99,
1,Overall Rating,Portable Audio & Video,3214,Other,4.84,
2,Overall Rating,Portable Audio & Video,2667,Other,4.78,
3,Overall Rating,Portable Audio & Video,5802,Other,4.71,
4,Overall Rating,Portable Audio & Video,7715,Other,4.69,
0,Overall Rating,Computers & Accessories,4050,Other,4.9,
1,Overall Rating,Computers & Accessories,4966,Plemo,4.9,
2,Overall Rating,Computers & Accessories,5607,Other,4.84,
3,Overall Rating,Computers & Accessories,7382,Other,4.83,
4,Overall Rating,Computers & Accessories,9392,Other,4.82,
0,Overall Rating,Headphones,4576,EldHus,4.87,
1,Overall Rating,Headphones,4413,Other,4.79,
2,Overall Rating,Headphones,4320,Other,4.79,
3,Overall Rating,Headphones,4013,Other,4.75,
4,Overall Rating,Headphones,4584,Other,4.74,
0,Overall Rating,Camera & Photo,2513,Other,5.0,
1,Overall Rating,Camera & Photo,8484,Canon,4.91,
2,Overall Rating,Camera & Photo,7460,Other,4.88,
3,Overall Rating,Camera & Photo,4283,Fujifilm,4.88,
4,Overall Rating,Camera & Photo,4367,Other,4.88,
0,Overall Rating,Accessories & Supplies,3103,Other,4.89,
1,Overall Rating,Accessories & Supplies,7570,Other,4.88,
2,Overall Rating,Accessories & Supplies,3672,Other,4.88,
3,Overall Rating,Accessories & Supplies,7163,ebasy,4.87,
4,Overall Rating,Accessories & Supplies,5769,Other,4.85,
0,Overall Rating,Television & Video,5030,Other,4.72,
1,Overall Rating,Television & Video,476,Panasonic,4.69,
2,Overall Rating,Television & Video,9366,Other,4.66,
3,Overall Rating,Television & Video,8177,Other,4.66,
4,Overall Rating,Television & Video,2462,Other,4.56,
0,Overall Rating,Car Electronics & GPS,4659,Other,4.96,
1,Overall Rating,Car Electronics & GPS,1991,Other,4.87,
2,Overall Rating,Car Electronics & GPS,3498,Other,4.86,
3,Overall Rating,Car Electronics & GPS,3300,Other,4.81,
4,Overall Rating,Car Electronics & GPS,5559,Other,4.74,
0,Overall Rating,Home Audio,1546,Other,4.8,
1,Overall Rating,Home Audio,3443,Other,4.76,
2,Overall Rating,Home Audio,7384,Other,4.73,
3,Overall Rating,Home Audio,811,Other,4.73,
4,Overall Rating,Home Audio,1006,Other,4.7,
0,Overall Rating,Security & Surveillance,4027,Other,4.67,
1,Overall Rating,Security & Surveillance,5031,Other,4.65,
2,Overall Rating,Security & Surveillance,1840,Other,4.5,
3,Overall Rating,Security & Surveillance,3754,Other,4.49,
4,Overall Rating,Security & Surveillance,2687,Other,4.47,
0,Overall Rating,Wearable Technology,4968,Other,4.8,
1,Overall Rating,Wearable Technology,7759,Other,4.37,
2,Overall Rating,Wearable Technology,8752,Other,4.31,
3,Overall Rating,Wearable Technology,5033,Other,4.27,
4,Overall Rating,Wearable Technology,6438,Other,4.17,
0,Overall Rating,Dresses,154064,ModCloth,4.78,
1,Overall Rating,Dresses,142983,Other,4.67,
2,Overall Rating,Dresses,143686,Other,4.65,
3,Overall Rating,Dresses,110169,Ryu,4.63,
4,Overall Rating,Dresses,112559,Other,4.62,
0,Overall Rating,Outerwear,135555,ModCloth,4.61,
